amount,claimer,claims
2103516.59,\xdd27fbfd9e2ebc345140542bab7bd4235172c3b3,1
1199494.611,\x274d9e726844ab52e351e8f1272e7fc3f58b7e5f,1
1158433.533,\xd03f3e6c1b7272aa1f2336c1856a74d759fd0a6a,1
985486.3262,\xf6b6f07862a02c85628b3a9688beae07fea9c863,1
926012.7545,\xa5f7a39e55d7878bc5bd754ee5d6bd7a7662355b,1
909281.9127,\x6fdabcd4c1b926310f5a8c4c00efefba3c8dbef4,1
886506.5033,\xf369af914dbed0ad7afdddebc631ee0fda1b4891,1
866651.1056,\x285306442cd985cab2c30515cfdab106fca7bc44,1
855723.7572,\x46499275b5c4d67dfa46b92d89aada3158ea392e,1
765220.708,\x25599dcbd434af9a17d52444f71c92987fa97cfc,1
739141.6022,\x9c5083dd4838e120dbeac44c052179692aa5dac5,1
654655.2371,\x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,1
638395.4528,\x414a13329d426280567603c310f87b35eacb7e21,1
556053.5535,\xd3a3eb0de0ffbb27fa32f2cebf38f8814b7af62f,1
516658.8283,\xf4ff62915434067a951a7df5238488dee96f0046,1
497203.6319,\xd5684ae2a4a722b8b31168acf6ff3477617073ea,1
486480.9165,\x5cfc6125672a7d1af61da570e09b9047d586bb7a,1
477980.693,\x49a2dcc237a65cc1f412ed47e0594602f6141936,1
464132.886,\x78e96be52e38b3fc3445a2ed34a6e586ffab9631,1
428188.6433,\x56a176ace5516b0f8525b292ba697a16d5e8a7eb,1
394816.8297,\x43b69f94d756d6ea690336cec4839e70d108a040,1
390554.8887,\x0fccef1c29deddb1e2a007ee9c1edf63149aa6b3,1
378777.5811,\x1b1b6cafd129220cd3ed0fcc0e6871b16bfccd8f,1
377331.3334,\x389135c984febdbb310adaf23a690dc28c8fa62b,1
375219.7289,\x94fa8efdd58e1721ad8bf5d4001060e0e1c4d58e,1
362696.5462,\x04270f910cb26d18fe353d106a91030ee9a089fa,1
357358.8041,\x0eb1afd80aec9e991c5f8d95a421be187974912f,1
351957.5648,\xdc9727d102f00adf0043d04431b6cd162c5114ea,1
331333.1017,\xd9418d5bd82754420f92be3583ecfd3e984045ad,1
298538.7538,\xea9f3c44f4fc7d6fa2385bcf432483b4947619f0,1
277201.153,\x73fc93f7e41a597c7766b3530b046a6ee0387b5c,1
256953.1765,\xe693cd414421237e3a6c613a0c75d41dd1921b61,1
254901.5118,\x42869a8455671c419bdcd1905f4966e6d305f216,1
246701.8399,\xb65bb533b44932a0a64c8cbc11671e81a52fd47c,1
243218.3145,\x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,1
236914.3102,\x85810c8f4435668086d2b3f1a852155c07aec658,1
231382.3595,\x963ec454423cd543db08bc38fc7b3036b425b301,1
229791.0383,\xb99b0fc1fea235d7083d67addf825958724eb194,1
226726.9748,\x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,1
218602.924,\xd4367dbdfd166da6e15d539508a9e68ec4b9ca4c,1
216833,\xac75b73394c329376c214663d92156afa864a77f,1
211935.3856,\xb631651cb570ba0c0d696bd5e4860cbd214f20a0,1
209717.5432,\x8aee8a1a34348530d2dfaf90ffbc4bc00a3d4328,1
206102.4639,\x3dda643dcbea49433f79b481b238dfe12c376ca2,1
205623.8019,\x139bb96b05f21105b565fe2f342e98dc1d13fb16,1
197997.2847,\x7a3a1c2de64f20eb5e916f40d11b01c441b2a8dc,1
197465.6086,\x1680ed6a1fe73c673e778705355212235dec3242,1
190045.8496,\xb86bb5fc804768db34f1a37da8b719e19af9dffd,1
175916.0553,\xfe73b5a595405bac396c329c674571a7a3db528c,1
168541.835,\x8a2f5d6d822611bdab08d306aa8f3e3942177417,1
164174.9336,\x145b8d0fe270b7bc4c362ecfa12e5f97e6788c48,1
160946.0047,\xd084ab520d116dbe0069796fe542e767fb4b498c,1
159803.3637,\x0489076a0d17394835af93cd62acff703b6814a9,1
158014.3645,\xbd0112cd8173f01952332c47118d38747cc96b29,1
154266.9133,\x76a75dcb9930e5472107c781460321332aba30d3,1
151757.4174,\x3d1df1a816577a62db61281f673c4f43ae063490,1
151060.3722,\x1fc6386835eb73c7c3b16695f30611b1a71fc84c,1
147522.5516,\x50adf7a75d7cd6132acc0a2fb21c019011286635,1
142976.5195,\xd402d5fe10929e5622ca04361850352df2a5b4d3,1
142340.9285,\x691ce62a208b195accf54c39a98f1112c90046d1,1
138269.833,\xc2edad668740f1aa35e4d8f227fb8e17dca888cd,1
137428.2002,\x41175dda5c99163ee0a7e30f436ac0db9c557ff4,1
136475.7772,\xf5f8ee3e4c7dbdc2639946cd92b21cffd4324652,1
134774.1052,\xa0f75491720835b36edc92d06ddc468d201e9b73,1
