amount,average amount claimed,claimers,time
7389.015117,2463.005039,3,2020-09-16T00:00:00+00:00
84535080.54,609.7496414,138639,2020-09-17T00:00:00+00:00
18703272.9,623.4216494,30001,2020-09-18T00:00:00+00:00
6423943.589,666.3150699,9641,2020-09-19T00:00:00+00:00
2963650.635,657.1287438,4510,2020-09-20T00:00:00+00:00
1814140.323,503.3685692,3604,2020-09-21T00:00:00+00:00
1030212.652,526.9629932,1955,2020-09-22T00:00:00+00:00
1239278.519,795.9399605,1557,2020-09-23T00:00:00+00:00
618683.1233,539.8631093,1146,2020-09-24T00:00:00+00:00
471042.2695,429.0002454,1098,2020-09-25T00:00:00+00:00
397072.4983,472.7053552,840,2020-09-26T00:00:00+00:00
286689.5456,420.3659027,682,2020-09-27T00:00:00+00:00
265859.3906,432.9957502,614,2020-09-28T00:00:00+00:00
210069.2746,410.291552,512,2020-09-29T00:00:00+00:00
604483.8166,1269.923984,476,2020-09-30T00:00:00+00:00
159187.7981,408.1738413,390,2020-10-01T00:00:00+00:00
163972.8562,410.9595393,399,2020-10-02T00:00:00+00:00
152926.5045,425.9791212,359,2020-10-03T00:00:00+00:00
675584.5161,2151.543045,314,2020-10-04T00:00:00+00:00
111463.1226,423.8141545,263,2020-10-05T00:00:00+00:00
118222.1106,444.4440248,266,2020-10-06T00:00:00+00:00
118710.8721,480.6108184,247,2020-10-07T00:00:00+00:00
86304.80342,416.9314175,207,2020-10-08T00:00:00+00:00
95393.20335,463.0738027,206,2020-10-09T00:00:00+00:00
81273.19165,412.5542723,197,2020-10-10T00:00:00+00:00
77492.40527,461.2643171,168,2020-10-11T00:00:00+00:00
79571.0968,465.3280514,171,2020-10-12T00:00:00+00:00
61659.26535,411.061769,150,2020-10-13T00:00:00+00:00
215094.2703,1156.420808,186,2020-10-14T00:00:00+00:00
86202.46791,422.5611172,204,2020-10-15T00:00:00+00:00
52873.73012,406.7210009,130,2020-10-16T00:00:00+00:00
71873.82223,413.0679438,174,2020-10-17T00:00:00+00:00
85711.57897,412.0748989,208,2020-10-18T00:00:00+00:00
77211.90027,433.7747206,178,2020-10-19T00:00:00+00:00
104509.9445,687.5654243,152,2020-10-20T00:00:00+00:00
68576.50791,403.391223,170,2020-10-21T00:00:00+00:00
86612.48283,537.9657318,161,2020-10-22T00:00:00+00:00
105143.8291,735.2715322,143,2020-10-23T00:00:00+00:00
83535.6251,413.5426985,202,2020-10-24T00:00:00+00:00
103837.7513,412.0545686,252,2020-10-25T00:00:00+00:00
73364.40555,516.6507433,142,2020-10-26T00:00:00+00:00
264345.3334,1536.891474,172,2020-10-27T00:00:00+00:00
48706.98761,402.5370877,121,2020-10-28T00:00:00+00:00
54935.47368,422.5805668,130,2020-10-29T00:00:00+00:00
38842.59749,413.2191222,94,2020-10-30T00:00:00+00:00
50366.91916,402.9353533,125,2020-10-31T00:00:00+00:00
837165.5635,4811.296342,174,2020-11-01T00:00:00+00:00
43959.28728,418.6598789,105,2020-11-02T00:00:00+00:00
45555.60562,406.7464787,112,2020-11-03T00:00:00+00:00
58015.77447,527.4161315,110,2020-11-04T00:00:00+00:00
36600.39911,425.5860362,86,2020-11-05T00:00:00+00:00
38170.2587,401.7921969,95,2020-11-06T00:00:00+00:00
62450.4031,410.8579151,152,2020-11-07T00:00:00+00:00
43231.38628,485.7459133,89,2020-11-08T00:00:00+00:00
138978.8419,1462.935178,95,2020-11-09T00:00:00+00:00
48146.43163,408.0206071,118,2020-11-10T00:00:00+00:00
47490.13859,439.7235054,108,2020-11-11T00:00:00+00:00
62239.53045,423.3981663,147,2020-11-12T00:00:00+00:00
53918.96974,402.3803712,134,2020-11-13T00:00:00+00:00
37775.58996,401.8679783,94,2020-11-14T00:00:00+00:00
53470.86817,402.0366027,133,2020-11-15T00:00:00+00:00
45616.39475,403.6849093,113,2020-11-16T00:00:00+00:00
181645.0874,1279.190757,142,2020-11-17T00:00:00+00:00
47879.35825,409.2252842,117,2020-11-18T00:00:00+00:00
36111.7091,401.2412122,90,2020-11-19T00:00:00+00:00
86572.69454,671.1061592,129,2020-11-20T00:00:00+00:00
107462.0565,866.629488,124,2020-11-21T00:00:00+00:00
387131.0095,2805.29717,138,2020-11-22T00:00:00+00:00
158718.1141,1368.259604,116,2020-11-23T00:00:00+00:00
76801.24014,556.5307256,138,2020-11-24T00:00:00+00:00
163245.9959,1497.669687,109,2020-11-25T00:00:00+00:00
37593.17311,404.2276678,93,2020-11-26T00:00:00+00:00
35831.17921,534.7937195,67,2020-11-27T00:00:00+00:00
30466.93539,400.8807288,76,2020-11-28T00:00:00+00:00
23043.20199,411.4857498,56,2020-11-29T00:00:00+00:00
30707.56196,404.0468678,76,2020-11-30T00:00:00+00:00
30188.50053,402.5133404,75,2020-12-01T00:00:00+00:00
34163.90298,421.77658,81,2020-12-02T00:00:00+00:00
41036.86929,402.322248,102,2020-12-03T00:00:00+00:00
47784.29349,404.9516398,118,2020-12-04T00:00:00+00:00
52208.50745,678.0325642,77,2020-12-05T00:00:00+00:00
33667.23108,420.8403885,80,2020-12-06T00:00:00+00:00
43350.56358,619.2937654,70,2020-12-07T00:00:00+00:00
34103.66258,415.8983241,82,2020-12-08T00:00:00+00:00
212791.3411,2127.913411,100,2020-12-09T00:00:00+00:00
22848.02056,400.842466,57,2020-12-10T00:00:00+00:00
18659.15522,405.6338092,46,2020-12-11T00:00:00+00:00
18554.36565,431.4968756,43,2020-12-12T00:00:00+00:00
42241.13106,768.0205646,55,2020-12-13T00:00:00+00:00
20001.58882,400.0317764,50,2020-12-14T00:00:00+00:00
21699.50465,417.2981664,52,2020-12-15T00:00:00+00:00
26748.34028,514.3911593,52,2020-12-16T00:00:00+00:00
33003.58224,402.4827102,82,2020-12-17T00:00:00+00:00
28479.02156,406.8431652,70,2020-12-18T00:00:00+00:00
31397.08029,407.7542895,77,2020-12-19T00:00:00+00:00
33275.26957,405.7959703,82,2020-12-20T00:00:00+00:00
26407.85459,400.1190089,66,2020-12-21T00:00:00+00:00
20457.2588,401.1227215,51,2020-12-22T00:00:00+00:00
26915.56612,401.7248674,67,2020-12-23T00:00:00+00:00
14007.89875,400.2256785,35,2020-12-24T00:00:00+00:00
53098.21318,428.2113966,124,2020-12-25T00:00:00+00:00
34234.48858,407.5534354,84,2020-12-26T00:00:00+00:00
33549.87538,404.215366,83,2020-12-27T00:00:00+00:00
35344.47672,420.76758,84,2020-12-28T00:00:00+00:00
147917.0008,2083.338039,71,2020-12-29T00:00:00+00:00
36132.81794,405.9867184,89,2020-12-30T00:00:00+00:00
39518.94016,444.0330354,89,2020-12-31T00:00:00+00:00
482518.3587,5421.554592,89,2021-01-01T00:00:00+00:00
42470.81167,400.6680347,106,2021-01-02T00:00:00+00:00
44033.83893,400.3076266,110,2021-01-03T00:00:00+00:00
84027.13048,631.782936,133,2021-01-04T00:00:00+00:00
39474.80147,406.9567162,97,2021-01-05T00:00:00+00:00
55486.7217,402.0776934,138,2021-01-06T00:00:00+00:00
50070.09278,400.5607423,125,2021-01-07T00:00:00+00:00
55269.42489,547.2220286,101,2021-01-08T00:00:00+00:00
43754.17375,433.209641,101,2021-01-09T00:00:00+00:00
421365.1201,3901.52889,108,2021-01-10T00:00:00+00:00
30910.89667,401.4402165,77,2021-01-11T00:00:00+00:00
30445.76529,422.8578512,72,2021-01-12T00:00:00+00:00
195070.9665,2191.808612,89,2021-01-13T00:00:00+00:00
39832.34656,485.7603239,82,2021-01-14T00:00:00+00:00
30580.922,402.3805526,76,2021-01-15T00:00:00+00:00
49361.51736,404.6026013,122,2021-01-16T00:00:00+00:00
56211.98023,468.4331686,120,2021-01-17T00:00:00+00:00
55467.43312,482.3255054,115,2021-01-18T00:00:00+00:00
46533.32192,438.993603,106,2021-01-19T00:00:00+00:00
35520.89598,449.6315947,79,2021-01-20T00:00:00+00:00
32094.40633,445.7556435,72,2021-01-21T00:00:00+00:00
19223.40636,400.4876325,48,2021-01-22T00:00:00+00:00
30119.30807,401.5907743,75,2021-01-23T00:00:00+00:00
60255.63646,533.2357209,113,2021-01-24T00:00:00+00:00
52267.40437,402.0569567,130,2021-01-25T00:00:00+00:00
45176.46685,406.9951968,111,2021-01-26T00:00:00+00:00
45324.06015,401.0978774,113,2021-01-27T00:00:00+00:00
44805.80187,400.0518024,112,2021-01-28T00:00:00+00:00
62536.8214,434.283482,144,2021-01-29T00:00:00+00:00
64222.08954,409.0578952,157,2021-01-30T00:00:00+00:00
68876.76554,400.4463113,172,2021-01-31T00:00:00+00:00
49765.15677,401.3319094,124,2021-02-01T00:00:00+00:00
55679.93771,415.5219232,134,2021-02-02T00:00:00+00:00
47444.48294,402.0718893,118,2021-02-03T00:00:00+00:00
58575.151,401.1996644,146,2021-02-04T00:00:00+00:00
44905.58054,404.5547796,111,2021-02-05T00:00:00+00:00
41182.38859,403.7489078,102,2021-02-06T00:00:00+00:00
38599.7548,406.3132084,95,2021-02-07T00:00:00+00:00
50038.63651,400.3090921,125,2021-02-08T00:00:00+00:00
63457.36443,414.7540159,153,2021-02-09T00:00:00+00:00
54047.58576,446.6742625,121,2021-02-10T00:00:00+00:00
39047.73095,411.0287468,95,2021-02-11T00:00:00+00:00
41088.45606,406.8163966,101,2021-02-12T00:00:00+00:00
43958.76233,414.705305,106,2021-02-13T00:00:00+00:00
34039.68213,400.4668486,85,2021-02-14T00:00:00+00:00
41237.85752,400.3675488,103,2021-02-15T00:00:00+00:00
26899.49947,407.5681738,66,2021-02-16T00:00:00+00:00
48666.10691,623.9244476,78,2021-02-17T00:00:00+00:00
38909.24759,401.1262638,97,2021-02-18T00:00:00+00:00
33023.08835,446.2579507,74,2021-02-19T00:00:00+00:00
44951.57283,401.3533289,112,2021-02-20T00:00:00+00:00
43701.36759,400.9299779,109,2021-02-21T00:00:00+00:00
39759.8638,537.2954567,74,2021-02-22T00:00:00+00:00
22443.27835,400.7728277,56,2021-02-23T00:00:00+00:00
24802.34293,400.0377891,62,2021-02-24T00:00:00+00:00
23309.00059,408.929835,57,2021-02-25T00:00:00+00:00
18063.65254,410.5375578,44,2021-02-26T00:00:00+00:00
18849.93996,401.0625524,47,2021-02-27T00:00:00+00:00
20493.47295,401.832803,51,2021-02-28T00:00:00+00:00
19258.50467,458.5358255,42,2021-03-01T00:00:00+00:00
21206.31728,400.1191939,53,2021-03-02T00:00:00+00:00
24824.28523,420.7505971,59,2021-03-03T00:00:00+00:00
52440.17231,1638.755385,32,2021-03-04T00:00:00+00:00
21665.66594,401.2160359,54,2021-03-05T00:00:00+00:00
22282.08878,405.1288869,55,2021-03-06T00:00:00+00:00
19980.16583,416.2534548,48,2021-03-07T00:00:00+00:00
28086.62417,401.2374881,70,2021-03-08T00:00:00+00:00
29843.83451,432.5193407,69,2021-03-09T00:00:00+00:00
19643.34892,400.8846718,49,2021-03-10T00:00:00+00:00
20098.55255,410.1745419,49,2021-03-11T00:00:00+00:00
