Date,Tokenholders
2020-09-01,68195
2020-10-01,89993
2020-11-01,99650
2020-12-01,108762
2021-01-01,123314
2021-02-01,158866
2021-03-01,188626
2021-04-01,213791
2021-05-01,242906
2021-06-01,249971
2021-07-01,254166
2021-08-01,263145
2021-09-01,269419
2021-10-01,276916
2021-11-01,286193
2021-12-01,293505
2022-01-01,298419
2022-02-01,302159
2022-03-01,305779
2022-04-01,307465
2022-05-01,309195
