count,day
5,2020-09-14T00:00:00+00:00
1,2020-09-15T00:00:00+00:00
51,2020-09-16T00:00:00+00:00
73729,2020-09-17T00:00:00+00:00
84972,2020-09-18T00:00:00+00:00
82892,2020-09-19T00:00:00+00:00
84401,2020-09-20T00:00:00+00:00
84552,2020-09-21T00:00:00+00:00
84289,2020-09-22T00:00:00+00:00
83502,2020-09-23T00:00:00+00:00
80210,2020-09-24T00:00:00+00:00
81577,2020-09-25T00:00:00+00:00
82162,2020-09-26T00:00:00+00:00
82987,2020-09-27T00:00:00+00:00
84021,2020-09-28T00:00:00+00:00
84645,2020-09-29T00:00:00+00:00
85345,2020-09-30T00:00:00+00:00
86075,2020-10-01T00:00:00+00:00
86329,2020-10-02T00:00:00+00:00
86665,2020-10-03T00:00:00+00:00
87035,2020-10-04T00:00:00+00:00
87063,2020-10-05T00:00:00+00:00
87006,2020-10-06T00:00:00+00:00
87594,2020-10-07T00:00:00+00:00
88107,2020-10-08T00:00:00+00:00
88619,2020-10-09T00:00:00+00:00
89075,2020-10-10T00:00:00+00:00
89413,2020-10-11T00:00:00+00:00
89224,2020-10-12T00:00:00+00:00
88352,2020-10-13T00:00:00+00:00
88854,2020-10-14T00:00:00+00:00
89196,2020-10-15T00:00:00+00:00
89903,2020-10-16T00:00:00+00:00
90265,2020-10-17T00:00:00+00:00
90622,2020-10-18T00:00:00+00:00
90856,2020-10-19T00:00:00+00:00
90988,2020-10-20T00:00:00+00:00
91308,2020-10-21T00:00:00+00:00
91644,2020-10-22T00:00:00+00:00
91774,2020-10-23T00:00:00+00:00
92127,2020-10-24T00:00:00+00:00
92211,2020-10-25T00:00:00+00:00
92436,2020-10-26T00:00:00+00:00
92729,2020-10-27T00:00:00+00:00
92819,2020-10-28T00:00:00+00:00
93033,2020-10-29T00:00:00+00:00
94063,2020-10-30T00:00:00+00:00
94441,2020-10-31T00:00:00+00:00
94644,2020-11-01T00:00:00+00:00
95034,2020-11-02T00:00:00+00:00
95363,2020-11-03T00:00:00+00:00
95591,2020-11-04T00:00:00+00:00
95853,2020-11-05T00:00:00+00:00
96423,2020-11-06T00:00:00+00:00
96680,2020-11-07T00:00:00+00:00
96795,2020-11-08T00:00:00+00:00
96909,2020-11-09T00:00:00+00:00
97244,2020-11-10T00:00:00+00:00
97526,2020-11-11T00:00:00+00:00
98051,2020-11-12T00:00:00+00:00
98576,2020-11-13T00:00:00+00:00
98864,2020-11-14T00:00:00+00:00
99372,2020-11-15T00:00:00+00:00
99774,2020-11-16T00:00:00+00:00
101194,2020-11-17T00:00:00+00:00
100339,2020-11-18T00:00:00+00:00
100771,2020-11-19T00:00:00+00:00
101368,2020-11-20T00:00:00+00:00
101777,2020-11-21T00:00:00+00:00
101917,2020-11-22T00:00:00+00:00
102304,2020-11-23T00:00:00+00:00
102843,2020-11-24T00:00:00+00:00
103285,2020-11-25T00:00:00+00:00
103631,2020-11-26T00:00:00+00:00
103885,2020-11-27T00:00:00+00:00
104229,2020-11-28T00:00:00+00:00
104445,2020-11-29T00:00:00+00:00
104869,2020-11-30T00:00:00+00:00
105178,2020-12-01T00:00:00+00:00
105382,2020-12-02T00:00:00+00:00
105743,2020-12-03T00:00:00+00:00
105811,2020-12-04T00:00:00+00:00
105934,2020-12-05T00:00:00+00:00
106088,2020-12-06T00:00:00+00:00
106267,2020-12-07T00:00:00+00:00
106651,2020-12-08T00:00:00+00:00
106959,2020-12-09T00:00:00+00:00
107079,2020-12-10T00:00:00+00:00
107378,2020-12-11T00:00:00+00:00
107621,2020-12-12T00:00:00+00:00
107872,2020-12-13T00:00:00+00:00
108089,2020-12-14T00:00:00+00:00
108229,2020-12-15T00:00:00+00:00
108499,2020-12-16T00:00:00+00:00
108833,2020-12-17T00:00:00+00:00
109114,2020-12-18T00:00:00+00:00
109391,2020-12-19T00:00:00+00:00
109599,2020-12-20T00:00:00+00:00
109823,2020-12-21T00:00:00+00:00
110141,2020-12-22T00:00:00+00:00
110424,2020-12-23T00:00:00+00:00
110710,2020-12-24T00:00:00+00:00
111034,2020-12-25T00:00:00+00:00
111424,2020-12-26T00:00:00+00:00
111743,2020-12-27T00:00:00+00:00
112080,2020-12-28T00:00:00+00:00
112456,2020-12-29T00:00:00+00:00
112748,2020-12-30T00:00:00+00:00
113371,2020-12-31T00:00:00+00:00
113802,2021-01-01T00:00:00+00:00
114410,2021-01-02T00:00:00+00:00
115057,2021-01-03T00:00:00+00:00
115778,2021-01-04T00:00:00+00:00
116367,2021-01-05T00:00:00+00:00
117158,2021-01-06T00:00:00+00:00
117672,2021-01-07T00:00:00+00:00
118026,2021-01-08T00:00:00+00:00
118514,2021-01-09T00:00:00+00:00
118994,2021-01-10T00:00:00+00:00
119307,2021-01-11T00:00:00+00:00
119658,2021-01-12T00:00:00+00:00
119946,2021-01-13T00:00:00+00:00
120527,2021-01-14T00:00:00+00:00
121020,2021-01-15T00:00:00+00:00
121763,2021-01-16T00:00:00+00:00
122414,2021-01-17T00:00:00+00:00
123166,2021-01-18T00:00:00+00:00
123864,2021-01-19T00:00:00+00:00
124530,2021-01-20T00:00:00+00:00
124976,2021-01-21T00:00:00+00:00
125495,2021-01-22T00:00:00+00:00
126043,2021-01-23T00:00:00+00:00
127228,2021-01-24T00:00:00+00:00
128409,2021-01-25T00:00:00+00:00
129847,2021-01-26T00:00:00+00:00
131291,2021-01-27T00:00:00+00:00
133320,2021-01-28T00:00:00+00:00
135477,2021-01-29T00:00:00+00:00
138164,2021-01-30T00:00:00+00:00
140562,2021-01-31T00:00:00+00:00
142683,2021-02-01T00:00:00+00:00
144547,2021-02-02T00:00:00+00:00
146425,2021-02-03T00:00:00+00:00
148285,2021-02-04T00:00:00+00:00
149155,2021-02-05T00:00:00+00:00
149536,2021-02-06T00:00:00+00:00
150797,2021-02-07T00:00:00+00:00
152331,2021-02-08T00:00:00+00:00
153686,2021-02-09T00:00:00+00:00
155728,2021-02-10T00:00:00+00:00
157060,2021-02-11T00:00:00+00:00
157405,2021-02-12T00:00:00+00:00
158448,2021-02-13T00:00:00+00:00
159402,2021-02-14T00:00:00+00:00
159418,2021-02-15T00:00:00+00:00
160288,2021-02-16T00:00:00+00:00
160813,2021-02-17T00:00:00+00:00
161787,2021-02-18T00:00:00+00:00
162309,2021-02-19T00:00:00+00:00
163615,2021-02-20T00:00:00+00:00
165373,2021-02-21T00:00:00+00:00
166969,2021-02-22T00:00:00+00:00
167875,2021-02-23T00:00:00+00:00
169213,2021-02-24T00:00:00+00:00
170334,2021-02-25T00:00:00+00:00
170955,2021-02-26T00:00:00+00:00
171605,2021-02-27T00:00:00+00:00
172250,2021-02-28T00:00:00+00:00
173165,2021-03-01T00:00:00+00:00
174010,2021-03-02T00:00:00+00:00
174169,2021-03-03T00:00:00+00:00
176459,2021-03-04T00:00:00+00:00
177296,2021-03-05T00:00:00+00:00
178475,2021-03-06T00:00:00+00:00
180556,2021-03-07T00:00:00+00:00
182197,2021-03-08T00:00:00+00:00
183153,2021-03-09T00:00:00+00:00
184456,2021-03-10T00:00:00+00:00
185645,2021-03-11T00:00:00+00:00
186902,2021-03-12T00:00:00+00:00
188242,2021-03-13T00:00:00+00:00
189302,2021-03-14T00:00:00+00:00
190339,2021-03-15T00:00:00+00:00
190998,2021-03-16T00:00:00+00:00
191519,2021-03-17T00:00:00+00:00
191928,2021-03-18T00:00:00+00:00
192869,2021-03-19T00:00:00+00:00
193831,2021-03-20T00:00:00+00:00
194369,2021-03-21T00:00:00+00:00
195597,2021-03-22T00:00:00+00:00
195378,2021-03-23T00:00:00+00:00
195582,2021-03-24T00:00:00+00:00
195778,2021-03-25T00:00:00+00:00
196203,2021-03-26T00:00:00+00:00
196101,2021-03-27T00:00:00+00:00
196832,2021-03-28T00:00:00+00:00
197837,2021-03-29T00:00:00+00:00
198739,2021-03-30T00:00:00+00:00
199515,2021-03-31T00:00:00+00:00
200267,2021-04-01T00:00:00+00:00
201023,2021-04-02T00:00:00+00:00
201952,2021-04-03T00:00:00+00:00
202801,2021-04-04T00:00:00+00:00
203853,2021-04-05T00:00:00+00:00
204969,2021-04-06T00:00:00+00:00
205875,2021-04-07T00:00:00+00:00
206608,2021-04-08T00:00:00+00:00
207472,2021-04-09T00:00:00+00:00
208212,2021-04-10T00:00:00+00:00
209044,2021-04-11T00:00:00+00:00
209719,2021-04-12T00:00:00+00:00
210940,2021-04-13T00:00:00+00:00
212114,2021-04-14T00:00:00+00:00
212996,2021-04-15T00:00:00+00:00
214286,2021-04-16T00:00:00+00:00
215422,2021-04-17T00:00:00+00:00
216211,2021-04-18T00:00:00+00:00
217202,2021-04-19T00:00:00+00:00
218272,2021-04-20T00:00:00+00:00
219075,2021-04-21T00:00:00+00:00
220548,2021-04-22T00:00:00+00:00
221506,2021-04-23T00:00:00+00:00
221613,2021-04-24T00:00:00+00:00
222697,2021-04-25T00:00:00+00:00
223831,2021-04-26T00:00:00+00:00
224964,2021-04-27T00:00:00+00:00
226336,2021-04-28T00:00:00+00:00
226925,2021-04-29T00:00:00+00:00
227042,2021-04-30T00:00:00+00:00
227204,2021-05-01T00:00:00+00:00
227754,2021-05-02T00:00:00+00:00
229180,2021-05-03T00:00:00+00:00
231631,2021-05-04T00:00:00+00:00
234045,2021-05-05T00:00:00+00:00
235231,2021-05-06T00:00:00+00:00
236558,2021-05-07T00:00:00+00:00
238302,2021-05-08T00:00:00+00:00
239573,2021-05-09T00:00:00+00:00
241544,2021-05-10T00:00:00+00:00
243008,2021-05-11T00:00:00+00:00
244220,2021-05-12T00:00:00+00:00
244158,2021-05-13T00:00:00+00:00
244804,2021-05-14T00:00:00+00:00
245338,2021-05-15T00:00:00+00:00
245595,2021-05-16T00:00:00+00:00
245879,2021-05-17T00:00:00+00:00
246461,2021-05-18T00:00:00+00:00
246798,2021-05-19T00:00:00+00:00
247011,2021-05-20T00:00:00+00:00
247597,2021-05-21T00:00:00+00:00
247793,2021-05-22T00:00:00+00:00
247544,2021-05-23T00:00:00+00:00
248021,2021-05-24T00:00:00+00:00
248228,2021-05-25T00:00:00+00:00
248820,2021-05-26T00:00:00+00:00
249192,2021-05-27T00:00:00+00:00
249456,2021-05-28T00:00:00+00:00
249672,2021-05-29T00:00:00+00:00
249615,2021-05-30T00:00:00+00:00
249906,2021-05-31T00:00:00+00:00
250057,2021-06-01T00:00:00+00:00
250413,2021-06-02T00:00:00+00:00
250794,2021-06-03T00:00:00+00:00
250954,2021-06-04T00:00:00+00:00
250141,2021-06-05T00:00:00+00:00
249098,2021-06-06T00:00:00+00:00
249163,2021-06-07T00:00:00+00:00
249293,2021-06-08T00:00:00+00:00
249581,2021-06-09T00:00:00+00:00
249528,2021-06-10T00:00:00+00:00
249786,2021-06-11T00:00:00+00:00
249501,2021-06-12T00:00:00+00:00
248958,2021-06-13T00:00:00+00:00
248969,2021-06-14T00:00:00+00:00
249224,2021-06-15T00:00:00+00:00
249078,2021-06-16T00:00:00+00:00
249376,2021-06-17T00:00:00+00:00
249408,2021-06-18T00:00:00+00:00
249605,2021-06-19T00:00:00+00:00
249820,2021-06-20T00:00:00+00:00
249971,2021-06-21T00:00:00+00:00
250200,2021-06-22T00:00:00+00:00
250452,2021-06-23T00:00:00+00:00
250679,2021-06-24T00:00:00+00:00
250846,2021-06-25T00:00:00+00:00
250881,2021-06-26T00:00:00+00:00
250914,2021-06-27T00:00:00+00:00
251242,2021-06-28T00:00:00+00:00
251174,2021-06-29T00:00:00+00:00
250069,2021-06-30T00:00:00+00:00
250220,2021-07-01T00:00:00+00:00
250049,2021-07-02T00:00:00+00:00
250693,2021-07-03T00:00:00+00:00
250963,2021-07-04T00:00:00+00:00
250939,2021-07-05T00:00:00+00:00
251462,2021-07-06T00:00:00+00:00
251805,2021-07-07T00:00:00+00:00
252062,2021-07-08T00:00:00+00:00
252386,2021-07-09T00:00:00+00:00
252842,2021-07-10T00:00:00+00:00
253174,2021-07-11T00:00:00+00:00
252949,2021-07-12T00:00:00+00:00
253154,2021-07-13T00:00:00+00:00
253401,2021-07-14T00:00:00+00:00
253683,2021-07-15T00:00:00+00:00
254032,2021-07-16T00:00:00+00:00
254374,2021-07-17T00:00:00+00:00
254622,2021-07-18T00:00:00+00:00
254813,2021-07-19T00:00:00+00:00
255095,2021-07-20T00:00:00+00:00
255315,2021-07-21T00:00:00+00:00
255639,2021-07-22T00:00:00+00:00
256244,2021-07-23T00:00:00+00:00
256528,2021-07-24T00:00:00+00:00
256681,2021-07-25T00:00:00+00:00
256883,2021-07-26T00:00:00+00:00
257182,2021-07-27T00:00:00+00:00
257453,2021-07-28T00:00:00+00:00
257734,2021-07-29T00:00:00+00:00
258227,2021-07-30T00:00:00+00:00
258597,2021-07-31T00:00:00+00:00
259005,2021-08-01T00:00:00+00:00
259246,2021-08-02T00:00:00+00:00
259654,2021-08-03T00:00:00+00:00
