contract_address,evt_block_number,evt_block_time,evt_index,evt_tx_hash,proposalId,support,voter,votes
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049095,2020-10-13T19:08:28+00:00,260,\xebd8ef4a5878c49cae6c10d8ce78b5fe8e5f20487d2e9ca2135d017e33449096,1,TRUE,\x3fd607eb83413e239109a6345271f74eab82ad57,5.60252E+20
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049121,2020-10-13T19:12:54+00:00,89,\x053a1e6a8cf761a7d018c6b10561abbf8929cba9c9ad1fcbeceddec75d5143ed,1,TRUE,\x680ebdfc65152d2fae6f7117240544bd35e62eb3,1.50078E+20
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049139,2020-10-13T19:16:30+00:00,143,\xeba1005e1f7d71821b3391d87fa709c14d06faf2dd4221118c3bb839f2cd3386,1,TRUE,\xc6391ef319d26ba6c88146bf29c6283d63a70af0,4.61193E+20
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049409,2020-10-13T20:12:52+00:00,226,\x1712db96841e342db61a1b77db56cfba8a12f6745f8c53b5b5a08601d613c58f,1,FALSE,\x6af96801c33ec00f2c99c8bdfec0d4e902a4b00d,5.69854E+20
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049558,2020-10-13T20:46:12+00:00,224,\x7e54ea77db106541179c23e490c45631125dbebb6252f8990b37d4f68363ac03,1,TRUE,\xae5c9dc28d008b95b1bb54941950da7ab859aa23,6.44E+22
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049635,2020-10-13T21:07:41+00:00,114,\x883a997c1f9d8294e0f951d8856633e7d87b7de9f317fc64df88f5120e37da2b,1,FALSE,\x664becd1c7412b34cb850b782f5b0a4fe839326a,2E+20
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049891,2020-10-13T22:03:17+00:00,262,\x137409b1327adbb0f42d0dcc0c19eee59d54fbe307aae01a3181803cd2f87ffb,1,FALSE,\x79411510315e819a36a731aa384c866a1dba2806,3.1502E+18
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049899,2020-10-13T22:05:09+00:00,213,\x06c47c314ee741320759161884b2913375759ada01265a9f2149b7566a55b4b6,1,TRUE,\x2a8adea9b8c23b09e59eb384fedee93986ca2158,1.40827E+19
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11049980,2020-10-13T22:22:15+00:00,269,\xe821005d2113c2dce4ad73dea156e600c236e0f935766b44162b32b80853b1e2,1,TRUE,\xe0a522d0736b252dba26525a870ef8d5a3a7db1a,2.58E+22
\x5e4be8bc9637f0eaa1a755019e06a68ce081d58f,11050097,2020-10-13T22:43:50+00:00,144,\x94ec4ae0a9ddc6d514eae29be8188a7a77539689249f5e72e353ca33e7e53b9d,1,TRUE,\x0ba6f9e9caeea3b98bedbbde420317c6d0e505cf,6.0195E+18
