contract_address,evt_block_number,evt_block_time,evt_index,evt_tx_hash,proposalId,reason,support,voter,votes
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13553145,2021-11-04T23:30:38+00:00,307,\xd1963da94947c2cd4f10867207fb5b12b08b242f120d8aadbdb73e26109eece6,9,,1,\xd724107ae1047b50b543ad4d940dee18e99261f1,1.00001E+20
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13553257,2021-11-05T00:00:27+00:00,377,\x7f50b7474f5f003bdb6e6c0cd2310c94f70897fdeb8eacd84f8bb8487dc49670,9,,1,\x9b68c14e936104e9a7a24c712beecdc220002984,2.50E+24
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13554645,2021-11-05T05:08:38+00:00,343,\x862a063d162ee5cd4896c7f05be25cdcf80dfd925b62db59d0aefc1b61c0b9d9,9,,1,\x458ceec48586a85fcfeb4a179706656ee321730e,4.36E+24
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13556434,2021-11-05T11:52:33+00:00,591,\xfaf07fab6405c52eb78d53a2d53c6845679dda8cbbdc764535c62db5415a9329,9,,1,\xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,2.54466E+20
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13556443,2021-11-05T11:54:31+00:00,493,\xfdb14f0cbeb41fe03b468e102c12b41c32051c22c6b78077d1ce10573044fcbd,9,,1,\xe87be8e831c019b1113f1ea5f8ffd9ba65828bf2,1.05425E+19
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13559127,2021-11-05T21:54:25+00:00,39,\x69ffb2a0a2cb5ece4a2215bf70b8c99b611be209ab92532565f91125a76c15cb,9,,1,\x47c125dee6898b6cb2379bcbafc823ff3f614770,4.50E+24
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13559132,2021-11-05T21:54:45+00:00,342,\xc17357108afefaa6486fcc67837d567429ceeb6862a9de4ab85f21e230498526,9,,1,\xe25d5c876e24c52f0938967fb6e164bb70bb2362,3.23523E+17
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13560055,2021-11-06T01:21:33+00:00,276,\xfae2a003749c388b6bf6d9171c599c28d199c6818ad91de6b99bda00f6e27161,9,,1,\x8d07d225a769b7af3a923481e1fdf49180e6a265,4.00E+24
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13560159,2021-11-06T01:44:22+00:00,531,\x16c2cd460c44c5ce98b0e2d511434f02536d2a5b6b0cb703d94d922ce1094ef7,9,,1,\x8073c62366973b9960f4561f6a72c5826b75e828,1.25E+19
\x408ed6354d4973f66138c91495f2f2fcbd8724c3,13560848,2021-11-06T04:24:04+00:00,118,\xb5d20edb579247ac2b80ee5decb552fcce18139503ca58f5d84fbfe95b17fd5a,9,,1,\x987137c02846b4c734d242acd847856338a32f40,2.57338E+20
