,0,1
0,121,0x0000000000015b23c7e20b0ea5ebd84c39dcbe60
1,15,0x0004e4d112cc82da89e851073e9611702e8a31e5
2,7,0x000536badbb6cde315ef4959d7d17ea0c129ebb5
3,89,0x00077218b3ea0388086e79efad4e4d7021f507f5
4,10000,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2
5,1,0x000aa644afae99d06c9a0ed0e41b1e61beca958d
6,1,0x000e7957dd0fb480a0639990813c883d10dd7276
7,2,0x001bd6a12f11cd18ca0c73048d9486a2f1dfb418
8,2,0x001ebb710524004633f292092ee31c3e8f4ff7cb
9,120,0x002ef3a473a83d6ec71c20cc33c3f3dc06d3f19a
10,257,0x003000bb2d5221da1bfc8ac32aa8d142d5cc989e
11,2,0x00396f9b20388ee51473c5045abc24924ece3b06
12,6,0x004115008b28540549d8e23fbe81f32c19403cc9
13,1,0x0052ff8b09907fd5cbd63791a01672362a6cb075
14,2,0x00547fa917d525646a3db19e69c8c4b98ade6e9d
15,1,0x005cc661c236e889abc5502ef9274cca66b56fdb
16,1,0x006f90ec7ef68f10cb7665386e1ec7d2bbdc9862
17,32,0x00867e6510cb4e27a0e364cc14144045268c1380
18,1,0x008e923ef9b43e52e22da77ff18f444d62abee7a
19,22,0x009afc1a84768a55bf317a79ac04bef5d9f8f57a
20,1063,0x00a8bec03805bcfaafab1050dbcf90f57982d750
21,14,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675
22,28,0x00c2ab79083f60c67496ef6cb8867f4745d5182b
23,2,0x00db9c054da9e66e34810d274f3319c217ef871f
24,2,0x00e03931678ec24b456d231314739d7b2db70e26
25,8,0x01087080dca984b607e1ebf263330431f979e528
26,4,0x010a17a1c2fbeb6d59361ba49f0576e32af12dc4
27,2,0x010ff97670fb68c1e11ad5f9823471bd43672eb7
28,20,0x01155a77d0e2c1345c8166104f75d374992ebaac
29,178,0x011687d52c2350ae190090dd9f44195176d559d0
30,11,0x01222a114552e89e4c548170f8c1f4d5460d255a
31,1,0x012e8721e556cd6475896ef0af05e32e2c9c567b
32,20,0x01368f7aa6f1ad5d0ce99b0f37e994e874f630b4
33,39,0x014cb673f9c97659d7291b28b5445beca803a58f
34,1,0x01504cb4de2a4cecfa59cfd76a241e8b21fa300e
35,1,0x015908701cd12fafe42df1f5208d6acf20732c49
36,103,0x01596ee01164fc4772b652d2714022f91a5d3013
37,60,0x0159dfc1c745dc4b10d42d2592335120f1f2d778
38,1,0x015b447c804d2e77f733b131e23c6ca55042097e
39,4,0x015c6bd5af517bfe2a1b3b98b6bf1251acc430b1
40,2,0x015df768ec74575220ae993d84dd03b9f6ead253
