datetime,project,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol
2022-05-25T00:00:00+00:00,SushiSwap,1.668842812,417210702.9,322711210.3,417210702.9,183936241.3,0.440871339,14.7366577,11.39875993,2.456109616,1.899793321,2106110356,68793100.33,206379.301,171982.7508,34396.55017
2022-05-24T00:00:00+00:00,SushiSwap,1.541174944,385293735.9,297146186.4,385293735.9,199997422.6,0.519077794,13.63629563,10.5165822,2.272715939,1.752763699,2149785228,60171913.52,180515.7406,150429.7838,30085.95676
2022-05-23T00:00:00+00:00,SushiSwap,1.455846743,363961685.7,280599895.6,363961685.7,94601778.36,0.259922355,12.87801758,9.928436238,2.146336264,1.654739373,2125999248,71511161.66,214533.485,178777.9041,35755.58083
2022-05-22T00:00:00+00:00,SushiSwap,1.456617488,364154372,282502183.3,364154372,86289971.69,0.236959867,12.78402295,9.917536827,2.130670492,1.652922804,2102777455,49416708.83,148250.1265,123541.7721,24708.35441
2022-05-21T00:00:00+00:00,SushiSwap,1.296736837,324184209.3,250430735.7,324184209.3,85444302.09,0.263567131,11.13652991,8.602915562,1.856088318,1.43381926,2102777455,51620167.95,154860.5039,129050.4199,25810.08398
2022-05-20T00:00:00+00:00,SushiSwap,1.370139639,342534909.6,264011721.2,342534909.6,110924861.5,0.323835201,11.49234597,8.857824284,1.915390996,1.476304047,2165530212,67565213.47,202695.6404,168913.0337,33782.60673
2022-05-19T00:00:00+00:00,SushiSwap,1.259283061,314820765.3,244399035.3,314820765.3,97001695.6,0.308117209,10.386088,8.062841358,1.731014666,1.343806893,2282457792,108845783.4,326537.3502,272114.4585,54422.89169
2022-05-18T00:00:00+00:00,SushiSwap,1.437277703,359319425.9,277313093.8,359319425.9,133575218.2,0.371745051,11.84263535,9.139828276,1.973772559,1.523304713,2282457792,86729204.24,260187.6127,216823.0106,43364.60212
2022-05-17T00:00:00+00:00,SushiSwap,1.262483851,315620962.7,243584286,315620962.7,104264908,0.330348489,10.4376058,8.05534821,1.739600967,1.342558035,2336970951,86561707.19,259685.1216,216404.268,43280.85359
2022-05-16T00:00:00+00:00,SushiSwap,1.391729857,347932464.3,267406373.6,347932464.3,108498480.6,0.311837761,11.57796505,8.898340811,1.929660841,1.483056802,2292165182,96697027.07,290091.0812,241742.5677,48348.51354
