datetime,project,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_supply_side,revenue_protocol
2022-05-25T00:00:00+00:00,SpookySwap,4.268912776,58338961.99,41497997.82,58338961.99,1344135.084,0.023040093,3.760605469,2.675014985,0.56409082,0.401252248,240633144,47141538.34,94283.07669,80140.61519,14142.4615
2022-05-24T00:00:00+00:00,SpookySwap,4.352559436,59482077.26,42357758.36,59482077.26,2998554.534,0.050411059,3.803429066,2.708458359,0.57051436,0.406268754,237528154.8,68138255.5,136276.511,115835.0344,20441.47665
2022-05-23T00:00:00+00:00,SpookySwap,4.519876249,61768628.81,43523230.44,61768628.81,2522614.595,0.040839738,3.952591423,2.785063399,0.592888713,0.41775951,230796317.3,122692073.1,245384.1462,208576.5243,36807.62193
2022-05-22T00:00:00+00:00,SpookySwap,4.294512269,58688804.66,41712039.88,58688804.66,2755919.576,0.046958182,3.780204045,2.686713808,0.567030607,0.403007071,218367557.8,92034999.93,184069.9999,156459.4999,27610.49998
2022-05-21T00:00:00+00:00,SpookySwap,4.069923577,55619575.61,39955386.5,55619575.61,2060615.343,0.037048383,3.552942467,2.552324212,0.53294137,0.382848632,210041276.2,111305260.6,222610.5213,189218.9431,33391.57819
2022-05-20T00:00:00+00:00,SpookySwap,4.090518159,55901021.15,39535484.86,55901021.15,2703957.156,0.048370443,3.55799257,2.516357635,0.533698885,0.377453645,207989767,65906235.66,131812.4713,112040.6006,19771.8707
2022-05-19T00:00:00+00:00,SpookySwap,3.846553976,52567006.64,37292074.04,52567006.64,1500040.243,0.028535774,3.279643268,2.32664379,0.49194649,0.348996569,224378506.3,76443759.6,152887.5192,129954.3913,22933.12788
2022-05-18T00:00:00+00:00,SpookySwap,4.322441661,59070487.74,41705969.61,59070487.74,2100162.052,0.035553491,3.655552949,2.580956854,0.548332942,0.387143528,214635212,77772739.86,155545.4797,132213.6578,23331.82196
2022-05-17T00:00:00+00:00,SpookySwap,4.374084492,59776238.67,42420497.06,59776238.67,2472915.02,0.041369532,3.668668064,2.603488046,0.55030021,0.390523207,214635212,78420217.85,156840.4357,133314.3703,23526.06536
2022-05-16T00:00:00+00:00,SpookySwap,4.728148377,64614875.71,45673465.65,64614875.71,2518002.547,0.038969394,3.948916076,2.791318265,0.592337411,0.41869774,229855911.9,133347190.9,266694.3818,226690.2245,40004.15727
2022-05-15T00:00:00+00:00,SpookySwap,4.472738239,61124440.77,42628430.64,61124440.77,2967190.07,0.048543431,3.733147508,2.603512075,0.559972126,0.390526811,214198257.7,135778982.4,271557.9649,230824.2701,40733.69473
2022-05-14T00:00:00+00:00,SpookySwap,3.775203789,51591934.99,36341737.73,51591934.99,3872620.483,0.075062517,3.120061501,2.197794225,0.468009225,0.329669134,214198257.7,126906027,253812.054,215740.2459,38071.80811
2022-05-13T00:00:00+00:00,SpookySwap,3.819693089,52199925.75,36460057.58,52199925.75,4446182.621,0.085176033,3.138279344,2.191992497,0.470741902,0.328798875,238524468.4,230476184.8,460952.3697,391809.5142,69142.85545
2022-05-12T00:00:00+00:00,SpookySwap,3.410688003,46610462.25,33362328.85,46610462.25,6890526.158,0.147832178,2.854255518,2.042987918,0.428138328,0.306448188,238524468.4,285757379.1,571514.7581,485787.5444,85727.21372
