datetime,project,price,market_cap,market_cap_circulating,market_cap_fully_diluted,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,tvl,gmv,revenue,revenue_protocol
2022-05-25T00:00:00+00:00,1inch,0.994063438,1491095157,411467000.2,1491095157,60187806.18,0.040364832,2045.424388,564.4338881,2045.424388,564.4338881,10426303.5,,660.0587795,660.0587795
2022-05-24T00:00:00+00:00,1inch,0.953045987,1429568981,395347552.2,1429568981,62131852.69,0.043461948,1952.385406,539.9325259,1952.385406,539.9325259,10375035.18,202380.77,1021.427241,1021.427241
2022-05-23T00:00:00+00:00,1inch,0.999017946,1498526919,414599140.3,1498526919,56893949.37,0.037966585,2073.003456,573.5402144,2073.003456,573.5402144,10188064.26,,537.4587629,537.4587629
2022-05-22T00:00:00+00:00,1inch,0.963862167,1445793251,400572895.7,1445793251,42422379.64,0.029341941,1970.79478,546.0303341,1970.79478,546.0303341,10171940.63,122282.5859,436.1268799,436.1268799
2022-05-21T00:00:00+00:00,1inch,0.918519742,1377779613,381114920.9,1377779613,53241692.97,0.038643113,1856.20807,513.4555521,1856.20807,513.4555521,10171940.63,,1625.715303,1625.715303
2022-05-20T00:00:00+00:00,1inch,0.932467043,1398700564,387533401.3,1398700564,65973898.85,0.047167993,1918.18791,531.4660651,1918.18791,531.4660651,10070042.15,167132.0064,958.535959,958.535959
2022-05-19T00:00:00+00:00,1inch,0.905212434,1357818651,379063982.5,1357818651,63784766.76,0.04697591,1861.63229,519.7142855,1861.63229,519.7142855,10343035.66,,1202.416972,1202.416972
2022-05-18T00:00:00+00:00,1inch,0.961721054,1442581581,398850939.6,1442581581,54389849.04,0.037703136,1991.264246,550.552999,1991.264246,550.552999,10343035.66,337424.6469,3516.582587,3516.582587
2022-05-17T00:00:00+00:00,1inch,0.919800998,1379701497,381977072.5,1379701497,55026916.53,0.039883204,2002.450524,554.3881706,2002.450524,554.3881706,10443559.16,,1396.754154,1396.754154
2022-05-16T00:00:00+00:00,1inch,0.977545542,1466318313,405438990,1466318313,62981281.83,0.042951985,2173.645345,601.0158678,2173.645345,601.0158678,10443559.16,139075.2262,885.8028007,885.8028007
