datetime,project,price,market_cap,market_cap_circulating,volume,vol_mc,pe,pe_circulating,ps,ps_circulating,revenue,revenue_supply_side,revenue_protocol
2022-05-25T00:00:00+00:00,Ethereum,,,,,,,,,,6923986.213,6923986.213,0
2022-05-24T00:00:00+00:00,Ethereum,1974.581194,2.38723E+11,2.38723E+11,14627311158,0.061273203,38.42080152,38.42080152,33.06632478,33.06632478,5963029.906,1040280.984,4922748.922
2022-05-23T00:00:00+00:00,Ethereum,2046.64635,2.4773E+11,2.4773E+11,9623174528,0.038845406,39.5764902,39.5764902,34.08210201,34.08210201,5430244,827442.9423,4602801.057
2022-05-22T00:00:00+00:00,Ethereum,1978.147133,2.39103E+11,2.39103E+11,7551508571,0.031582667,37.53812221,37.53812221,32.28748208,32.28748208,4876324.707,979244.7508,3897079.956
2022-05-21T00:00:00+00:00,Ethereum,1963.99094,2.37367E+11,2.37367E+11,14638100163,0.06166869,36.37567198,36.37567198,31.36853797,31.36853797,4672937.001,1223785.531,3449151.47
2022-05-20T00:00:00+00:00,Ethereum,2023.848259,2.44359E+11,2.44359E+11,17828306699,0.072959483,36.3304229,36.3304229,31.39544039,31.39544039,5981319.225,894277.6315,5087041.593
2022-05-19T00:00:00+00:00,Ethereum,1915.177123,2.32056E+11,2.32056E+11,15892119501,0.068483888,34.12766027,34.12766027,29.47427381,29.47427381,5733899.656,1468982.353,4264917.303
2022-05-18T00:00:00+00:00,Ethereum,2095.178885,2.53641E+11,2.53641E+11,17005002529,0.067043634,36.94920258,36.94920258,31.92092566,31.92092566,5636754.482,634419.4153,5002335.067
2022-05-17T00:00:00+00:00,Ethereum,2025.888698,2.44742E+11,2.44742E+11,20068743682,0.081999626,35.53014487,35.53014487,30.64785625,30.64785625,7639368.588,1430692.172,6208676.416
2022-05-16T00:00:00+00:00,Ethereum,2147.047448,2.5935E+11,2.5935E+11,14395455889,0.055505848,37.51726193,37.51726193,32.29013276,32.29013276,5548942.443,988556.4965,4560385.947
2022-05-15T00:00:00+00:00,Ethereum,2064.229358,2.49319E+11,2.49319E+11,14395772635,0.057740349,35.66819507,35.66819507,30.71972252,30.71972252,5660042.856,1317203.368,4342839.488
2022-05-14T00:00:00+00:00,Ethereum,2010.214051,2.43391E+11,2.43391E+11,23979529161,0.098522483,34.27431766,34.27431766,29.5648854,29.5648854,8088319.909,1821543.931,6266775.978
2022-05-13T00:00:00+00:00,Ethereum,1966.699171,2.38138E+11,2.38138E+11,41621733327,0.174779931,33.17304102,33.17304102,28.63812796,28.63812796,15778265.28,2218068.334,13560196.94
2022-05-12T00:00:00+00:00,Ethereum,2080.910244,2.50067E+11,2.50067E+11,46548009611,0.186142284,34.87624993,34.87624993,30.11055184,30.11055184,41431328.4,3016124.238,38415204.16
2022-05-11T00:00:00+00:00,Ethereum,2344.797716,2.83082E+11,2.83082E+11,36844564808,0.130154939,41.15977302,41.15977302,35.43602828,35.43602828,29941878.75,940467.2218,29001411.53
2022-05-10T00:00:00+00:00,Ethereum,2249.890962,2.71595E+11,2.71595E+11,34392685562,0.126632343,40.78807411,40.78807411,34.80704257,34.80704257,14300024.57,2904084.282,11395940.28
2022-05-09T00:00:00+00:00,Ethereum,2517.829922,3.04412E+11,3.04412E+11,20582973186,0.067615411,45.79855816,45.79855816,39.13603104,39.13603104,14293509.9,796994.7721,13496515.13
2022-05-08T00:00:00+00:00,Ethereum,2641.229107,3.19031E+11,3.19031E+11,12528069434,0.039269141,47.74675604,47.74675604,40.76743832,40.76743832,7080870.923,971203.3891,6109667.534
2022-05-07T00:00:00+00:00,Ethereum,2699.707247,3.25972E+11,3.25972E+11,20516541977,0.062939603,47.75084224,47.75084224,40.64433728,40.64433728,8686025.169,872537.9144,7813487.254
2022-05-06T00:00:00+00:00,Ethereum,2753.936567,3.32104E+11,3.32104E+11,20868783133,0.062838146,47.78578884,47.78578884,40.76828508,40.76828508,14631325.85,3792557.116,10838768.73
2022-05-05T00:00:00+00:00,Ethereum,2942.052313,3.5523E+11,3.5523E+11,17336934450,0.048804848,48.98482456,48.98482456,41.69790222,41.69790222,17811144.33,2707325.914,15103818.42
2022-05-04T00:00:00+00:00,Ethereum,2786.047248,3.36655E+11,3.36655E+11,12836324478,0.038129003,46.03603092,46.03603092,39.23136506,39.23136506,14824912.54,2512772.774,12312139.77
2022-05-03T00:00:00+00:00,Ethereum,2861.372376,3.4508E+11,3.4508E+11,17701813871,0.05129769,46.85090952,46.85090952,39.87786943,39.87786943,17269711.63,1083913.881,16185797.75
2022-05-02T00:00:00+00:00,Ethereum,2832.513107,3.41626E+11,3.41626E+11,14489173445,0.042412363,46.34190484,46.34190484,39.23858518,39.23858518,19762777.64,2188394.156,17574383.49
2022-05-01T00:00:00+00:00,Ethereum,2738.174136,3.30211E+11,3.30211E+11,12618462103,0.038213301,44.64710607,44.64710607,37.75088311,37.75088311,231271129.2,34893822.79,196377306.4
2022-04-30T00:00:00+00:00,Ethereum,2817.489882,3.40292E+11,3.40292E+11,17902735174,0.052609954,64.57000377,64.57000377,54.60161443,54.60161443,13463407.88,1396629.044,12066778.83
2022-04-29T00:00:00+00:00,Ethereum,2932.455084,3.53388E+11,3.53388E+11,18249410920,0.051641261,66.45198064,66.45198064,56.18030219,56.18030219,15007467.53,1739640.704,13267826.82
2022-04-28T00:00:00+00:00,Ethereum,2889.592223,3.48355E+11,3.48355E+11,17036298769,0.048904944,65.42418354,65.42418354,55.16777743,55.16777743,15987333.94,2891953.361,13095380.58
2022-04-27T00:00:00+00:00,Ethereum,2806.748836,3.38098E+11,3.38098E+11,17750798289,0.052501896,62.07404591,62.07404591,52.01331013,52.01331013,15715342.09,3041917.262,12673424.82
2022-04-26T00:00:00+00:00,Ethereum,3008.336347,3.6259E+11,3.6259E+11,22037549639,0.060778101,66.58348912,66.58348912,55.32136024,55.32136024,13558294.67,692789.598,12865505.08
2022-04-25T00:00:00+00:00,Ethereum,2922.901865,3.52896E+11,3.52896E+11,9196851418,0.026061085,65.36342477,65.36342477,54.13386643,54.13386643,16852003.77,2669638.255,14182365.51
2022-04-24T00:00:00+00:00,Ethereum,2940.687978,3.54358E+11,3.54358E+11,8633203958,0.024362934,65.78374841,65.78374841,54.54272172,54.54272172,10266307.11,1495759.546,8770547.563
2022-04-23T00:00:00+00:00,Ethereum,2967.085285,3.57702E+11,3.57702E+11,16155619719,0.045164982,65.69720778,65.69720778,54.47180896,54.47180896,10134148.15,1291676.5,8842471.653
2022-04-22T00:00:00+00:00,Ethereum,2987.488876,3.59918E+11,3.59918E+11,20529419340,0.057039193,65.9116143,65.9116143,54.6161268,54.6161268,17049878.63,3098024.488,13951854.14
2022-04-21T00:00:00+00:00,Ethereum,3079.676478,3.70911E+11,3.70911E+11,15155965878,0.040861512,68.4159505,68.4159505,56.67684388,56.67684388,18600967,1469498.069,17131468.93
2022-04-20T00:00:00+00:00,Ethereum,3104.688448,3.73783E+11,3.73783E+11,13472639207,0.036044015,70.28274703,70.28274703,57.98891792,57.98891792,23037648.11,2552209.303,20485438.81
2022-04-19T00:00:00+00:00,Ethereum,3061.890571,3.68758E+11,3.68758E+11,18188817400,0.049324472,71.53385232,71.53385232,58.80770349,58.80770349,13618195.69,2276851.682,11341344.01
2022-04-18T00:00:00+00:00,Ethereum,2995.719421,3.60749E+11,3.60749E+11,9543306566,0.026454154,70.52653334,70.52653334,57.97287618,57.97287618,11910842.96,2131620.388,9779222.572
2022-04-17T00:00:00+00:00,Ethereum,3066.358014,3.69788E+11,3.69788E+11,9063939048,0.024511182,71.59592979,71.59592979,58.53912166,58.53912166,9008659.294,1992868.44,7015790.853
2022-04-16T00:00:00+00:00,Ethereum,3045.428075,3.66695E+11,3.66695E+11,12543243551,0.034206166,69.65446845,69.65446845,56.84934471,56.84934471,11568400.77,3275836.885,8292563.885
2022-04-15T00:00:00+00:00,Ethereum,3023.417212,3.63962E+11,3.63962E+11,15895586505,0.043673743,68.94671145,68.94671145,56.38587773,56.38587773,12687993.35,1576731.711,11111261.64
2022-04-14T00:00:00+00:00,Ethereum,3121.399823,3.75768E+11,3.75768E+11,15452917855,0.041123595,71.59322838,71.59322838,58.47803252,58.47803252,15556267.94,1758728.911,13797539.03
2022-04-13T00:00:00+00:00,Ethereum,3038.209422,3.65661E+11,3.65661E+11,18977679664,0.0518996,70.71662337,70.71662337,57.59117792,57.59117792,15134737.59,2295847.776,12838889.82
2022-04-12T00:00:00+00:00,Ethereum,2992.702106,3.60149E+11,3.60149E+11,21142997360,0.058706209,70.7073045,70.7073045,57.38696124,57.38696124,14889935.18,2055133.808,12834801.37
2022-04-11T00:00:00+00:00,Ethereum,3219.159553,3.88982E+11,3.88982E+11,10005373137,0.025721939,77.71299583,77.71299583,62.94981647,62.94981647,14558105.59,982993.8606,13575111.73
2022-04-10T00:00:00+00:00,Ethereum,3265.938068,3.92551E+11,3.92551E+11,9316769844,0.023733881,79.65728121,79.65728121,64.27475326,64.27475326,14172061.52,3767615.402,10404446.11
2022-04-09T00:00:00+00:00,Ethereum,3192.025091,3.82663E+11,3.82663E+11,17523939555,0.045794719,78.11455672,78.11455672,63.25665463,63.25665463,12214772.68,1830553.172,10384219.5
2022-04-08T00:00:00+00:00,Ethereum,3232.834989,3.88867E+11,3.88867E+11,16149775915,0.041530299,79.6907701,79.6907701,64.4466051,64.4466051,18311903.71,1846186.291,16465717.42
2022-04-07T00:00:00+00:00,Ethereum,3171.371104,3.82809E+11,3.82809E+11,26109763335,0.068205773,80.00637153,80.00637153,64.18628468,64.18628468,23598001.01,5191362.012,18406638.99
2022-04-06T00:00:00+00:00,Ethereum,3422.969884,4.12945E+11,4.12945E+11,15114055502,0.03660066,88.32789441,88.32789441,70.99538058,70.99538058,19389395.25,1101565.404,18287829.84
2022-04-05T00:00:00+00:00,Ethereum,3520.967118,4.23368E+11,4.23368E+11,16925919014,0.039979218,92.11507266,92.11507266,73.78808205,73.78808205,46310621.98,9823412.796,36487209.19
2022-04-04T00:00:00+00:00,Ethereum,3521.584725,4.23411E+11,4.23411E+11,14019828281,0.033111668,99.28692234,99.28692234,79.73413831,79.73413831,23089393.05,2802295.745,20287097.31
2022-04-03T00:00:00+00:00,Ethereum,3440.336238,4.13595E+11,4.13595E+11,22091140765,0.053412461,99.18255102,99.18255102,79.65962972,79.65962972,20952683.12,4170336.425,16782346.69
2022-04-02T00:00:00+00:00,Ethereum,3451.196091,4.14855E+11,4.14855E+11,19701116865,0.047489175,100.5349473,100.5349473,81.05921918,81.05921918,21767615.73,5040952.274,16726663.45
2022-04-01T00:00:00+00:00,Ethereum,3283.302843,3.94629E+11,3.94629E+11,16222256121,0.041107663,96.20789427,96.20789427,78.03407636,78.03407636,23221998.61,3595248.675,19626749.93
2022-03-31T00:00:00+00:00,Ethereum,3383.788762,4.07461E+11,4.07461E+11,14183468638,0.03480943,100.4715657,100.4715657,81.53888087,81.53888087,17681363.02,1860478.682,15820884.33
2022-03-30T00:00:00+00:00,Ethereum,3401.184431,4.08154E+11,4.08154E+11,17936369662,0.043945103,100.2311315,100.2311315,80.92116992,80.92116992,18388109.2,2259392.862,16128716.34
