sender,receiver,amount,amount_usd,currency,date
0xc04f44994170536a73ce1acb8c6c68dcab198a06,0xce84867c3c02b05dc570d0135103d3fb9cc19433,14.9911189,117.4410776,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-01
0xc04f44994170536a73ce1acb8c6c68dcab198a06,0x664105e59de9b72e659dd380091f93f8a1d3d623,37.90470504,64.70886744,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-18
0xc04f44994170536a73ce1acb8c6c68dcab198a06,0x664105e59de9b72e659dd380091f93f8a1d3d623,48.91460161,36.89652298,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-10-11
0x07e3a678fac8af6525216b9520b304a78b809743,0xce84867c3c02b05dc570d0135103d3fb9cc19433,49.93940277,391.2274538,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-01
0x07e3a678fac8af6525216b9520b304a78b809743,0x259930bbad6698b5a58a62a8d302eaa447a8c947,129.9459727,196.3548447,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-05
0x28420fe46fcb7949d24c595c9d4ce0819d1b8ff6,0x6884b476a09b83d6d3595bc331a719f8971e683f,34095.629,74568.54005,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-11
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0xce84867c3c02b05dc570d0135103d3fb9cc19433,692.547664,1584.559817,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-06
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0xce84867c3c02b05dc570d0135103d3fb9cc19433,146.5123829,404.422948,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-07
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0xce84867c3c02b05dc570d0135103d3fb9cc19433,4130.07665,10208.28775,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-08
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0x8798249c2e607446efb7ad49ec89dd1865ff4272,1517.646751,4600.489014,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-09
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0xce84867c3c02b05dc570d0135103d3fb9cc19433,5052.653468,15173.73296,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-09
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0x795065dcc9f64b5614c407a6efdc400da6221fb0,505.6112968,1314.098226,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-10
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0x795065dcc9f64b5614c407a6efdc400da6221fb0,627.8301873,1403.049669,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-11
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0x795065dcc9f64b5614c407a6efdc400da6221fb0,542.8571169,1339.242749,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-12
0x8f492f2df0546dceacfefb8f22fb9d87b6a48b81,0xce84867c3c02b05dc570d0135103d3fb9cc19433,360.17227,915.1471118,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-13
0x64b6db7f857d560a3e2377a2d4f4acec4f9239cf,0xce84867c3c02b05dc570d0135103d3fb9cc19433,1075.858632,10068.45717,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-01
0x64b6db7f857d560a3e2377a2d4f4acec4f9239cf,0xce84867c3c02b05dc570d0135103d3fb9cc19433,1545.690213,9370.233199,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-03
0x64b6db7f857d560a3e2377a2d4f4acec4f9239cf,0xce84867c3c02b05dc570d0135103d3fb9cc19433,298.9108679,1382.66801,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-05
0x64b6db7f857d560a3e2377a2d4f4acec4f9239cf,0xce84867c3c02b05dc570d0135103d3fb9cc19433,548.4504191,791.8848017,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-06
0x64b6db7f857d560a3e2377a2d4f4acec4f9239cf,0x0738328101e94e7d150ce411f1e91ba3f3cf302d,264.5805217,697.369197,"{'symbol': 'SUSHI', 'address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",2020-09-11
